moeCode,schoolName,year,regularProvinces,comprehensiveProvinces,sourceTitle,sourceUrl,sourceDate,confidence,notes
4131016404,上海纽约大学,2026,none,all,上海纽约大学2026年本科招生简章（中国大陆学生）,https://shanghai.nyu.edu/cn/page/shang-hai-niu-yue-da-xue2026-nian-ben-ke-zhao-sheng-jian-zhang-zhong-guo-da-lu-xue-sheng,2025-11-26,high,招生计划不分省；须网申、初审、参加校园日活动方可获得录取资格，不存在不申请即可录取的批次
4132016406,昆山杜克大学,2026,none,all,昆山杜克大学2026年本科招生章程,https://newstatic.dukekunshan.edu.cn/admissions/2026/05/22132653/dukekunshan-undergrad-admissions-regulations-2026.pdf,2026-05-22,high,高考60%+自主综合评估40%；须经Slate系统申请并通过校园日活动入围后，方有资格在普通类本科提前批填报
4131014423,上海科技大学,2026,北京|天津|辽宁|上海|浙江|福建|江西|山东|河南|湖北|湖南|重庆|四川|贵州|云南|陕西|甘肃|安徽,北京|天津|辽宁|上海|江苏|浙江|福建|江西|山东|河南|湖北|湖南|重庆|四川|贵州|云南|陕西|甘肃,上海科技大学2026年本科招生常见问答,https://admission.shanghaitech.edu.cn/2026/0401/c917a1120428/page.htm,2026-04-01,high,原文：除江苏外其他综合评价招生省份的考生均可以裸分填报；江苏为A类高水平综合评价，须获得校园开放日成绩方可报考；安徽在普通本科批招生不参加综合评价
4144016409,深圳北理莫斯科大学,2026,北京|天津|河北|山西|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|四川|贵州|陕西,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|重庆|四川|陕西,深圳北理莫斯科大学2026年夏季高考招生章程（阳光高考）,https://gaokao.chsi.com.cn/wap/zszc/viewZszc?schId=1783356075&infoId=7653817220,2026-05-01,high,章程第十四条：综合评价22省在提前批、普通高考17省在本科批；须注意双学籍专业仅通过综合评价招生，单学籍5个专业两种模式都招
4144014325,南方科技大学,2026,unpublished_pilot,北京|河北|山西|内蒙古|辽宁|吉林|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|陕西,南方科技大学2026年本科招生章程（阳光高考）,https://gaokao.chsi.com.cn/wap/zszc/viewZszc?schId=360427709&infoId=7622117708,2026-04-29,high,章程第十四条：综合评价在提前批（或综合评价批次）录取，另在部分省份试点普通本科批次录取；试点省份名单未在章程或简章公布，以各省招生计划为准，因此只作提示不做排除
4111014430,中国科学院大学,2026,北京|江苏|浙江|山东|陕西|湖南|四川,北京|江苏|浙江|山东|陕西|湖南|四川,中国科学院大学2026年本科招生章程,https://admission.ucas.ac.cn/ShowArticle/Article/4719aea6-edb5-4446-9f2d-cbcc771da521/3ecb7777-078d-42bd-b474-408693b74a94,2026-05-29,high,这7个省市是综合评价（提前批）与普通高考（一批次）并行；普通批以100%比例调阅档案
4144016407,香港中文大学（深圳）,2026,all,广东|浙江|上海|山东|江苏|福建,香港中文大学（深圳）招生问答：2026年的招生录取模式是什么？,https://admissions.cuhk.edu.cn/node/919,2026-04-01,high,六省市实行双轨制：普通本科提前批+综合评价并行；普通提前批面向全国21个省市完全依据高考成绩
4144016412,香港科技大学（广州）,2026,all,none,香港科技大学（广州）2026年夏季高考招生章程,https://ugadmissions.hkust-gz.edu.cn/article/AdmissionPolicies?zbid=16&student_type=MainlandStudents,2026-05-01,high,章程第十五条：面向17个省区市，录取批次为本科提前批，按普通高考录取模式完全依据高考成绩择优录取，不采用综合评价
4144014851,香港城市大学（东莞）,2026,all,none,香港城市大学（东莞）2026年夏季高考招生章程,https://uga.cityu-dg.edu.cn/admission-policy/3539,2026-05-01,high,面向13个省市在普通批次录取，分数优先，无综合评价与校测
4144016410,广东以色列理工学院,2026,all,none,广东以色列理工学院2026年夏季高考招生章程,https://sites.gtiit.edu.cn/admissions/gtiit-gaokao-examination-2026/,2026-05-01,high,面向15个省市在本科普通批按普通高考录取模式，完全依据高考成绩择优录取
4132016403,西交利物浦大学,2026,all,江苏|广东,西交利物浦大学2026年中国内地本科招生章程,https://www.xjtlu.edu.cn/wp-content/uploads/2026/05/8988b8e1529327ca85e0f611494aa080.pdf,2026-05-01,high,全国列入本科第一批次或本科批次；江苏广东另设综合评价，且未被综合评价录取者仍可填报本科批次参与投档
4133016301,宁波诺丁汉大学,2026,all,浙江,宁波诺丁汉大学2026年普通高校招生章程,https://www.nottingham.edu.cn/cn/study-with-us/undergraduate/entry-requirements/gaokao.aspx,2026-05-01,high,普通高考招生按分数优先遵循志愿投档；浙江另有三位一体综合评价，属并行通道
4133016405,温州肯恩大学,2026,all,浙江,温州肯恩大学2026年普通高校招生章程,https://admission.wku.edu.cn/zh-hans/node/3298,2026-05-01,high,章程第十一条按平行志愿分数优先遵循志愿录取；浙江三位一体综合评价另有单独章程，属并行通道
4144016401,北京师范大学-香港浸会大学联合国际学院,2026,all,广东,北师港浸大招生政策（综合评价录取仅针对广东考生）,https://admission.bnbu.edu.cn/CEA/policy.htm,2026-03-10,high,学校已更名为北师香港浸会大学；综合评价仅面向广东考生且在提前批特殊类型招生综合评价志愿栏，其余省份及广东本科批走普通高考录取
